                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0443,                 4.2979,                 1.3618,                0.12344,                0.37048,                0.17196,                0.12928,                0.66367,                  4.708,                 1.1809,                 0.0928,                 0.0008,                 0.0008
                      1,                0.99777,                 3.2679,                 1.3319,                0.75424,                0.52857,                0.65492,                0.55387,                0.57012,                 3.4412,                  1.064,               0.084696,              0.0016965,              0.0016965
                      2,                0.86195,                 1.7327,                 1.1852,                0.78816,                0.87542,                0.87031,                0.74568,                0.59148,                  1.479,                 1.0352,               0.076589,              0.0025893,              0.0025893
                      3,                0.78826,                 1.1318,                 1.1275,                0.94478,                0.86213,                0.95475,                0.80955,                0.57896,                0.89364,                 1.0364,               0.068478,              0.0034783,              0.0034783
                      4,                0.71699,                0.89095,                 1.0831,                0.90811,                0.94587,                0.97461,                 0.8133,                0.58402,                0.67971,                 1.0491,               0.060364,              0.0043637,              0.0043637
                      5,                0.70412,                0.81713,                  1.086,                0.90462,                0.89363,                0.93944,                0.78548,                0.63171,                 0.7074,                 1.1029,               0.052245,              0.0052453,              0.0052453
                      6,                0.71806,                0.74616,                 1.0621,                0.93277,                0.98346,                0.98625,                0.82434,                0.55616,                0.64122,                  1.046,               0.044123,              0.0061233,              0.0061233
                      7,                0.74075,                0.70616,                 1.0709,                0.89493,                0.88058,                 0.9629,                0.78862,                0.66977,                0.72476,                 1.1866,               0.035997,              0.0069975,              0.0069975
                      8,                0.73958,                0.70627,                 1.0522,                0.94123,                0.89364,                0.93908,                0.78305,                0.61766,                0.73975,                  1.096,               0.027868,               0.007868,               0.007868
                      9,                0.77778,                0.70792,                 1.0786,                0.92395,                0.93234,                0.97633,                0.78144,                0.78007,                0.96212,                 1.2831,               0.019735,              0.0087348,              0.0087348
                     10,                 0.7866,                0.68702,                 1.0948,                0.93444,                0.86746,                0.93777,                0.71116,                0.80464,                 1.0289,                 1.3451,               0.011598,              0.0095979,              0.0095979
                     11,                0.82111,                0.71401,                 1.1199,                0.68708,                0.80851,                0.89116,                 0.6378,                 1.0546,                 1.9808,                 1.6532,              0.0097731,              0.0097731,              0.0097731
                     12,                 0.7744,                0.66979,                 1.0727,                0.83641,                0.95847,                0.97013,                0.75824,                0.77942,                 1.5295,                  1.333,              0.0097731,              0.0097731,              0.0097731
                     13,                0.80536,                0.70899,                 1.1062,                0.81809,                0.83366,                0.95031,                0.75161,                 0.8243,                0.94075,                 1.3469,              0.0097525,              0.0097525,              0.0097525
